timestamp	commit	skill	old_score	new_score	status	dimension	note	eval_mode
# ===== DFT skills (optimized, runtime-verified) =====
2026-04-16T10:40	baseline	dft-vasp/static	-	82.3	baseline	-	fcc Si SCF, E0=-4.89eV verified	full_test
2026-04-16T10:40	baseline	dft-vasp/relax	-	84.8	baseline	-	fcc Si relax, V=14.5A3 verified	full_test
2026-04-16T10:40	baseline	dft-vasp/dos	-	86.0	baseline	-	fcc Si DOS, Ef drift 207meV documented	full_test
2026-04-16T10:40	baseline	dft-vasp/band	-	85.5	baseline	-	fcc Si band, NBANDS=8 verified	full_test
2026-04-16T10:40	baseline	dft-cp2k/static	-	83.3	baseline	-	H2O SCF, E=-17.2196Ha verified	full_test
2026-04-16T10:40	baseline	dft-qe	-	83.8	baseline	-	Si SCF, E=-93.450Ry verified	full_test
2026-04-16T10:40	baseline	dft-abacus/static	-	86.3	baseline	-	Si2 LCAO, E=-213.665eV verified	full_test
2026-04-16T10:40	baseline	dft-abacus (router)	-	59.4	baseline	-	Minimal router, only static leaf exists	dry_run
# ===== DFT routers + CP2K stubs =====
2026-04-16T11:20	baseline	dft-vasp (router)	-	71.6	baseline	-	Clean router with NEP integration	dry_run
2026-04-16T11:20	baseline	dft-cp2k (router)	-	66.6	baseline	-	Adequate router, less CP2K-specific	dry_run
2026-04-16T11:20	baseline	dft-cp2k/electronic	-	44.6	baseline	-	Skeletal stub, no CP2K keywords	dry_run
2026-04-16T11:20	baseline	dft-cp2k/md	-	44.6	baseline	-	Skeletal stub, zero CP2K syntax	dry_run
2026-04-16T11:20	baseline	dft-cp2k/relax	-	47.6	baseline	-	Intent classification only, no examples	dry_run
# ===== GPUMD / MD skills =====
2026-04-16T11:20	baseline	gpumd (router)	-	81.7	baseline	-	Strong router, shared policy + cross-skill	dry_run
2026-04-16T11:20	baseline	gpumd/md	-	86.2	baseline	-	Best leaf: line-by-line run.in annotation	dry_run
2026-04-16T11:20	baseline	gpumd/phonon	-	79.6	baseline	-	Solid recipe, needs omega2 postproc script	dry_run
2026-04-16T11:20	baseline	gpumd/transport	-	80.6	baseline	-	EMD/HNEMD strong, SHC/HNEMDEC thin	dry_run
2026-04-16T11:20	baseline	gpumd/diffusion	-	85.2	baseline	-	Three workflows, Nernst-Einstein formula	dry_run
2026-04-16T11:20	baseline	gpumd/elastic	-	76.1	baseline	-	Working recipe, no derived-moduli script	dry_run
2026-04-16T11:20	baseline	gpumd/mechanics	-	77.6	baseline	-	Good group bookkeeping, impact thin	dry_run
# ===== NEP / MLP skills =====
2026-04-16T11:20	baseline	nep-gpumd (router)	-	75.9	baseline	-	Solid dispatcher, needs decision tree	dry_run
2026-04-16T11:20	baseline	nep-gpumd/train	-	85.8	baseline	-	Production-ready, quantitative diagnostics	dry_run
2026-04-16T11:20	baseline	nep-gpumd/fine-tune	-	88.5	baseline	-	Best of set: decision tree + 3-scenario	dry_run
2026-04-16T11:20	baseline	nep-gpumd/automation	-	76.5	baseline	-	Good loop safety, NepTrainKit API unverified	dry_run
# ===== Data processing skills =====
2026-04-16T11:20	baseline	dpdata-cli	-	60.1	baseline	-	CLI reference card, lacks agent workflow	dry_run
2026-04-16T11:20	baseline	openbabel	-	62.2	baseline	-	Good examples, no structured workflow	dry_run
2026-04-16T11:20	baseline	packmol-generate-mixture	-	83.0	baseline	-	Clear agent responsibilities + formula	dry_run
2026-04-16T11:20	baseline	pymatgen-structure	-	64.2	baseline	-	Strong policy, commands in ref file	dry_run
2026-04-16T11:20	baseline	rdkit-conf	-	79.4	baseline	-	Excellent specificity, real fallback script	dry_run
# ===== Tools + Analysis =====
2026-04-16T11:20	baseline	dpdisp-submit	-	88.1	baseline	-	Production-grade: JSON example, dry-run	dry_run
2026-04-16T11:20	baseline	gpumd-tools	-	67.7	baseline	-	Advisory catalog, lacks checkpoint gates	dry_run
2026-04-16T11:20	baseline	search-species	-	81.1	baseline	-	3-engine table, fallback logic	dry_run
2026-04-16T11:20	baseline	phonopy	-	70.1	baseline	-	Good design, placeholder-heavy commands	dry_run
2026-04-16T11:20	baseline	reacnetgenerator	-	86.6	baseline	-	9 recipes, wrapper/native decision tree	dry_run
2026-04-16T11:20	baseline	agent-taskboard-manifest	-	63.1	baseline	-	Meta-spec, abstract YAML templates	dry_run
